Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present <WUG> <WUG> present forget","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  forget)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP present (VP (LEX forget ) ) ) ) ) )",-86.7807901913,-88.2641912557,0.226864793028,2.76103187027,0.0120315331176,335.239518646,117.,7.48290119386,2.08241494548;1.31835450781;1.36913998511;1.04973241606;1.84954621962;5.93099162187
"present laugh <WUG> present buy","(START  (IP  (LEX  present) (VP  (LEX  laugh) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  buy)))))))","(START (IP present (VP (LEX laugh ) (CP (LEX <WUG> ) (IP present (VP buy ) ) ) ) ) )",-55.905055192,-57.5260589629,0.197700153775,2.6209337604,0.0107944733664,211.072174504,117.,6.89065128617,2.06733444651;1.67870906122;1.35759494387;1.05685093789;1.02625218908;4.99096549808
"present <WUG> <WUG> present leave","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  leave)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP present (VP (LEX leave ) ) ) ) ) )",-86.2392455056,-87.72264657,0.226864793028,2.76103187027,0.0141694684033,332.027621652,117.,7.48290119386,2.08241494548;1.31835450781;1.36913998511;1.04973241606;1.84954621962;5.93099162187
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) )",-114.621833825,-116.172447304,0.212117804191,3.16024896528,0.00727816892724,479.144310173,224.,6.72713659801,2.07390463356;1.2568661088;1.41209240603;1.08074127931;1.11365652428;5.25001145308
"present sneeze <WUG> present leave","(START  (IP  (LEX  present) (VP  (LEX  sneeze) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  leave)))))))","(START (IP present (VP (LEX sneeze ) <WUG> (LEX present ) (LEX leave ) ) ) )",-58.133757304,-60.0184542798,0.15187507427,2.64302436321,0.021223869687,219.432567003,72.,7.41988100784,2.09136411025;1.76209893382;1.23533041988;1.03729036769;1.64574232142;5.25251681093
"present notice <WUG> present turn","(START  (IP  (LEX  present) (VP  (LEX  notice) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  turn)))))))","(START (IP present (VP (LEX notice ) (CP (LEX <WUG> ) (IP present (VP turn ) ) ) ) ) )",-56.2865741194,-57.9497877385,0.189528926617,2.74593163336,0.0101942762065,212.73076087,131.,6.91142725307,2.06828143426;1.6819906631;1.35276715031;1.05785685262;1.05063958799;4.99955479705
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) )",-114.621833825,-116.172447304,0.212117804191,3.16024896528,0.00727816892724,479.144310173,224.,6.72713659801,2.07390463356;1.2568661088;1.41209240603;1.08074127931;1.11365652428;5.25001145308
"present complain <WUG> present keep","(START  (IP  (LEX  present) (VP  (LEX  complain) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  keep)))))))","(START (IP present (VP (LEX complain ) (CP (LEX <WUG> ) (IP present (VP keep ) ) ) ) ) )",-57.0705914081,-58.8957090201,0.161198684116,3.08025706757,0.0106201155028,216.270327006,131.,6.96842569717,2.07093217663;1.69110852248;1.33911770898;1.08618964307;1.11852743486;4.99892145584
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) )",-114.621833825,-116.172447304,0.212117804191,3.16024896528,0.00727816892724,479.144310173,224.,6.72713659801,2.07390463356;1.2568661088;1.41209240603;1.08074127931;1.11365652428;5.25001145308
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP present (VP <WUG> ) ) ) ) )",-114.621833825,-116.172447304,0.212117804191,3.16024896528,0.00727816892724,479.144310173,224.,6.72713659801,2.07390463356;1.2568661088;1.41209240603;1.08074127931;1.11365652428;5.25001145308
"present <WUG> <WUG> present play","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  play)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP present (VP play ) ) ) ) )",-83.3854280724,-84.7240467005,0.262207624781,2.62408341743,0.0126199498197,314.282929463,192.,6.65414357883,2.0731179003;1.21626441892;1.43138993984;1.05831263177;1.01538069564;5.29455728959
