Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past hear that past bake","(START  (IP  (LEX  past) (VP  (LEX  hear) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  bake)))))))","(START (IP (LEX past ) (LEX hear ) (LEX that ) (IP past (LEX bake ) ) ) )",-30.5874473224,-31.7856745866,0.301728623223,1.91619133983,0.0139893027726,100.809975587,33.,7.74002090019,2.95347530454;1.04666751573;1.22615079369;1.00223491203;1.51149237421;4.56667794766
"past <WUG> that past catch","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  catch)))))))","(START (IP (LEX past ) (LEX <WUG> ) (LEX that ) (IP past (LEX catch ) ) ) )",-60.0293956831,-61.6891202472,0.190191358412,2.20001341824,0.0107752539342,176.589881098,45.,7.26736386173,2.95310259859;1.02941636135;1.14255169496;1.00246472654;1.49186434401;4.54427497492
"past <WUG> that should clean","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  should) (VP  (LEX  clean)))))))","(START (IP (LEX past ) (LEX <WUG> ) (LEX that ) (LEX should ) (VP (LEX clean ) ) ) )",-62.0296136649,-62.646736401,0.539494474569,1.21383696896,0.0139019681708,191.645053613,27.,7.84833651657,2.96415243295;1.03559707639;1.13949545689;1.01764967227;1.69864307312;3.89174581323
"past <WUG> that past win","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  win)))))))","(START (IP (LEX past ) (LEX <WUG> ) (LEX that ) (IP past (LEX win ) ) ) )",-60.0322303409,-61.691954905,0.190191358412,2.20001341824,0.0107626487831,176.602762563,45.,7.26736386173,2.95310259859;1.02941636135;1.14255169496;1.00246472654;1.49186434401;4.54427497492
"past <WUG> that would <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  would) (VP  (LEX  <WUG>)))))))","(START (IP (LEX past ) (LEX <WUG> ) (LEX that ) (IP would (LEX <WUG> ) ) ) )",-89.9861102119,-91.7512090688,0.171169864337,2.3424251919,0.00637808782229,312.498052079,78.,7.28256849205,2.95313445443;1.02941864567;1.14266201618;1.02445734608;1.50622118738;4.53506094368
"past <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP (LEX past ) (LEX <WUG> ) (LEX that ) (IP past (LEX <WUG> ) ) ) )",-89.9225081897,-91.6138256459,0.184276587666,2.33072996249,0.00638020960927,311.331199566,78.,7.25112793096,2.9530814809;1.02938946578;1.14267321071;1.02374758699;1.47656782971;4.51013929725
"past <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP (LEX past ) (LEX <WUG> ) (LEX that ) (IP past (LEX <WUG> ) ) ) )",-89.9225081897,-91.6138256459,0.184276587666,2.33072996249,0.00638020960927,311.331199566,78.,7.25112793096,2.9530814809;1.02938946578;1.14267321071;1.02374758699;1.47656782971;4.51013929725
"past <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP (LEX past ) (LEX <WUG> ) (LEX that ) (IP past (LEX <WUG> ) ) ) )",-89.9225081897,-91.6138256459,0.184276587666,2.33072996249,0.00638020960927,311.331199566,78.,7.25112793096,2.9530814809;1.02938946578;1.14267321071;1.02374758699;1.47656782971;4.51013929725
"past <WUG> that present play","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  play)))))))","(START (IP (LEX past ) (LEX <WUG> ) (LEX that ) (LEX present ) (VP (LEX play ) ) ) )",-61.1207811233,-61.7379038594,0.539494474569,1.21383696896,0.0181862291489,188.685862509,27.,7.84833651657,2.96415243295;1.03559707639;1.13949545689;1.01764967227;1.69864307312;3.89174581323
"past <WUG> that would finish","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  would) (VP  (LEX  finish)))))))","(START (IP (LEX past ) (LEX <WUG> ) (LEX that ) (IP would (LEX finish ) ) ) )",-60.0659380619,-61.8375539656,0.170057969395,2.34772425899,0.0106551096142,176.827276893,69.,7.28155079701,2.95322009149;1.02942421937;1.14296293879;1.00253564313;1.50293284699;4.54948276017
"past hear that past win","(START  (IP  (LEX  past) (VP  (LEX  hear) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  win)))))))","(START (IP (LEX past ) (LEX hear ) (LEX that ) (IP past (LEX win ) ) ) )",-30.5804094066,-31.7786366708,0.301728623223,1.91619133983,0.0140208194906,100.777835692,33.,7.74002090019,2.95347530454;1.04666751573;1.22615079369;1.00223491203;1.51149237421;4.56667794766
