Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present <WUG> <WUG> past take","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (LEX past ) (VP take ) ) ) ) )",-85.6305097642,-87.5923547015,0.140598785533,3.65431660578,0.0743237645445,325.987409692,202.,7.08493456029,2.33873627366;1.49546847847;1.30130649603;1.08824630443;1.00833109931;5.00106560666
"present <WUG> <WUG> past chase","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  chase)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP past (LEX chase ) ) ) ) )",-86.922312818,-88.2061400759,0.27697521371,2.95154531315,0.070274363025,313.873538502,122.,6.72769917414,2.36169882083;1.34835377135;1.09922809241;1.07467034516;1.03238021274;5.00463809953
"present <WUG> <WUG> present love","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  love)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (LEX present ) (VP love ) ) ) ) )",-85.3089525933,-87.6990817047,0.091617854203,3.91977644839,0.189337559331,322.541416869,198.,7.21955044982,2.35465939532;1.50280093706;1.38081029444;1.2069885952;1.08256523776;4.71194600225
"present <WUG> <WUG> past sell","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP past (LEX sell ) ) ) ) )",-86.9043453888,-88.3525622427,0.23498893433,3.3977459958,0.0697776617095,317.868584012,182.,6.80136924462,2.35698688902;1.37861946528;1.14082596494;1.076276215;1.02747174226;5.00499602002
"present <WUG> <WUG> present drink","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  drink)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (LEX present ) (VP drink ) ) ) ) )",-83.7392112677,-85.6336272059,0.150406155878,3.52007746039,0.160509189956,331.448265362,198.,7.23284596796,2.3237192327;1.61704026444;1.52700782336;1.10289211342;1.0177577408;4.89522015592
"present <WUG> <WUG> present drive","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  drive)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP (LEX present ) drive ) ) ) )",-85.5195516399,-87.766444504,0.105727223584,3.91853376828,0.228763091416,306.868618824,218.,7.02627271659,2.3747617661;1.38006741221;1.19249937136;1.52198363754;1.10208878059;4.41405170805
"present <WUG> <WUG> present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (LEX present ) (VP <WUG> ) ) ) ) )",-113.947850631,-116.107514895,0.115363846269,3.94407021125,0.17683820333,466.614231691,227.,7.1771482234,2.34225296819;1.57358449958;1.46427817372;1.15159247352;1.04110441925;4.70804633107
"present <WUG> <WUG> present study","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  study)))))))","(START (IP present (LEX <WUG> ) (LEX <WUG> ) (LEX present ) (LEX study ) ) )",-85.4203941854,-87.8817228333,0.085321513379,3.92927996595,0.194184831804,320.491433035,198.,7.217530062,2.35936106448;1.48544112132;1.35859410828;1.22280710345;1.09241338928;4.68409564975
"present <WUG> <WUG> present like","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  present) (VP  (LEX  like)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (LEX present ) like ) ) ) )",-83.7729348856,-85.1879941565,0.242911215463,3.38465819041,0.226366559357,318.582823319,244.,7.01761767391,2.34983061588;1.52576227449;1.50770273893;1.1922050221;1.01931223758;4.21930745851
"present <WUG> <WUG> past write","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (LEX past ) (VP write ) ) ) ) )",-86.1090422342,-88.2491900902,0.117637448329,3.70177140777,0.0712705880329,325.518510356,182.,7.02716258879,2.34254516483;1.47138158974;1.26832038281;1.08119808786;1.01242764151;5.00609301998
"present <WUG> <WUG> past buy","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP past (LEX buy ) ) ) ) )",-86.2022218667,-88.347196343,0.117071025093,3.7116971691,0.070856764124,325.048838378,182.,7.00827066128,2.343753491;1.46362026561;1.25765303869;1.08078627915;1.01368636799;5.00600123497
"present <WUG> <WUG> past eat","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  eat)))))))","(START (IP present (VP (LEX <WUG> ) (CP (LEX <WUG> ) (LEX past ) (VP eat ) ) ) ) )",-84.9369092818,-86.7229029955,0.167630401571,3.45486095195,0.0844151813545,325.756784767,202.,7.15408740947,2.33437018901;1.52370200773;1.3401710743;1.08685794774;1.00384732022;5.00405683043
"present <WUG> <WUG> past read","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  read)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP past (LEX read ) ) ) ) )",-86.9410611837,-88.3517343781,0.243978982576,3.34303212319,0.0705487363924,315.226183323,202.,6.73805526375,2.35957901871;1.35712367565;1.10975166835;1.14903367872;1.02852273766;4.93670838229
"present <WUG> <WUG> past see","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  <WUG>) (IP  (LEX  past) (VP  (LEX  see)))))))","(START (IP present (VP <WUG> (LEX <WUG> ) (IP past (LEX see ) ) ) ) )",-84.8808485832,-86.1696350253,0.275605042918,2.98342007793,0.0835119778362,303.795478942,182.,6.73010330664,2.3615450527;1.34934145519;1.10058558802;1.07472275076;1.03222003082;5.00464977982
