Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past hear <WUG> that past bake","(START  (IP  (LEX  past) (VP  (LEX  hear) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  bake))))))))","(START (IP (LEX past ) (LEX hear ) <WUG> (LEX that ) (LEX past ) (LEX bake ) ) )",-67.2757704482,-68.0173340512,0.476368481724,1.15727118382,0.100965135292,208.312873873,50.,7.5818361445,2.59396083476;1.52353710544;1.00010630251;1.00000043507;1.00006073981;1.00000006504;3.52383032496
"past <WUG> <WUG> that past catch","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  catch))))))))","(START (IP (LEX past ) (LEX <WUG> ) <WUG> (LEX that ) (LEX past ) (LEX catch ) ) )",-96.6519188275,-97.3939696103,0.476136461141,1.16215581726,0.0992244787695,311.846564835,95.,7.58236480595,2.59400866307;1.52329633692;1.00059331189;1.00000263912;1.00021281594;1.00000016523;3.5251275799
"past make <WUG> that should clean","(START  (IP  (LEX  past) (VP  (LEX  make) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  should) (VP  (LEX  clean))))))))","(START (IP (LEX past ) (LEX make ) <WUG> (LEX that ) (LEX should ) (LEX clean ) ) )",-70.0908872539,-70.8324759137,0.476356545572,1.15750051893,0.0445075142398,218.234538288,56.,7.58186798978,2.59396883516;1.52352678992;1.0001313564;1.00000057541;1.00010708404;1.00000005435;3.52384912087
"past <WUG> <WUG> that past win","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  win))))))))","(START (IP (LEX past ) (LEX <WUG> ) <WUG> (LEX that ) (LEX past ) (LEX win ) ) )",-96.6470623729,-97.3933585514,0.474119358161,1.19283720592,0.098997202707,311.999989445,125.,7.58161811673,2.59459220111;1.52126587759;1.00482719518;1.00246113309;1.00031065874;0.995548505665;3.53008265053
"past make <WUG> that would <WUG>","(START  (IP  (LEX  past) (VP  (LEX  make) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  would) (VP  (LEX  <WUG>))))))))","(START (IP (LEX past ) (LEX make ) <WUG> (LEX that ) (LEX would ) (LEX <WUG> ) ) )",-99.7246418691,-100.466443042,0.476255324298,1.15958285945,0.0420041419743,322.689642469,71.,7.58218849111,2.59403668035;1.52343931196;1.00034381905;1.0000139921;1.00011098682;1.00000008287;3.5243810545
"past <WUG> <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>))))))))","(START (IP (LEX past ) (LEX <WUG> ) <WUG> (LEX that ) (LEX past ) (LEX <WUG> ) ) )",-126.026820619,-126.768773845,0.476182913479,1.16137270537,0.0975052624584,415.38160443,113.,7.58224036522,2.59399522464;1.52334309684;1.00049580879;1.00000425643;1.00028203882;1.00000016525;3.52478165925
"past <WUG> <WUG> that past wrap","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  wrap))))))))","(START (IP (LEX past ) (LEX <WUG> ) <WUG> (LEX that ) (LEX past ) (LEX wrap ) ) )",-96.6523224594,-97.3939696103,0.476328683797,1.15811213339,0.0992366477368,311.827134687,59.,7.58193102583,2.593953054;1.52348983239;1.00018983804;1.00000072457;1.00013982381;1.0000001653;3.52406690636
"past make <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  make) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>))))))))","(START (IP (LEX past ) (LEX make ) <WUG> (LEX that ) (LEX past ) (LEX <WUG> ) ) )",-96.6014036084,-97.34305606,0.476326158908,1.15818063023,0.0993260387124,311.662258215,59.,7.58197315528,2.59398920231;1.52350052901;1.00019513776;1.00000167522;1.00011100333;1.00000006504;3.5240078055
"past make <WUG> that present play","(START  (IP  (LEX  past) (VP  (LEX  make) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  play))))))))","(START (IP (LEX past ) (LEX make ) <WUG> (LEX that ) (LEX present ) (LEX play ) ) )",-65.8412429848,-66.5835009874,0.476037806449,1.16316599567,0.280172131597,203.297119641,56.,7.58304230497,2.59418247521;1.52325132759;1.00080038731;1.00000792228;1.00026193599;1.00000004126;3.52540733488
"past <WUG> <WUG> that would finish","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (NP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  would) (VP  (LEX  finish))))))))","(START (IP (LEX past ) (LEX <WUG> ) <WUG> (LEX that ) (LEX would ) (LEX finish ) ) )",-99.7721847221,-100.514611229,0.475957598945,1.16573011708,0.041918162896,322.865982437,119.,7.58269206684,2.59406040703;1.52311629038;1.00096874223;1.00005769489;1.00020441412;1.00000021048;3.52614277217
