Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past feel that past want","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  want)))))))","(START (IP past (VP (LEX feel ) (CP (LEX that ) (IP past (LEX want ) ) ) ) ) )",-32.6130900901,-34.1718673303,0.210393174297,2.47281476227,0.0120487589889,126.544162662,33.,7.99710862096,2.31549061549;1.80015230424;1.47964018337;1.359505108;1.04232040986;5.1349525725
"past feel that past like","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  like)))))))","(START (IP past (VP (LEX feel ) (CP (LEX that ) (IP past (LEX like ) ) ) ) ) )",-32.6852347537,-34.2440119939,0.210393174297,2.47281476227,0.0117991730865,126.914622089,33.,7.99710862096,2.31549061549;1.80015230424;1.47964018337;1.359505108;1.04232040986;5.1349525725
"past feel that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP past (VP (LEX feel ) (CP (LEX that ) (IP past (LEX <WUG> ) ) ) ) ) )",-62.4171400782,-64.2729068491,0.156333025092,2.95970553459,0.00858571220249,276.747118405,57.,7.93853318634,2.30281287846;1.81497185343;1.51146679858;1.28349024743;1.03144625636;5.03593296982
"past feel that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP past (VP (LEX feel ) (CP (LEX that ) (IP past (LEX <WUG> ) ) ) ) ) )",-62.4171400782,-64.2729068491,0.156333025092,2.95970553459,0.00858571220249,276.747118405,57.,7.93853318634,2.30281287846;1.81497185343;1.51146679858;1.28349024743;1.03144625636;5.03593296982
"past feel that past need","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  need)))))))","(START (IP past (VP (LEX feel ) (CP (LEX that ) (IP past (LEX need ) ) ) ) ) )",-32.7372464673,-34.2960237075,0.210393174297,2.47281476227,0.0116300855659,127.181699771,33.,7.99710862096,2.31549061549;1.80015230424;1.47964018337;1.359505108;1.04232040986;5.1349525725
"past feel that past love","(START  (IP  (LEX  past) (VP  (LEX  feel) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  love)))))))","(START (IP past (VP (LEX feel ) (CP (LEX that ) (LEX past ) (VP love ) ) ) ) )",-31.8648509416,-33.3559352711,0.225128409776,2.88524534367,0.014517098675,122.532663198,51.,7.85814090712,2.28454923025;1.83632101318;1.55628901514;1.16467871021;1.01630293835;4.90323833509
"past say that past buy","(START  (IP  (LEX  past) (VP  (LEX  say) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP past (VP (LEX say ) (CP (LEX that ) (IP past (LEX buy ) ) ) ) ) )",-32.391777686,-33.9505549262,0.210393174297,2.47281476227,0.0128936704111,125.926879534,33.,7.99710862096,2.31549061549;1.80015230424;1.47964018337;1.359505108;1.04232040986;5.1349525725
"past say that past write","(START  (IP  (LEX  past) (VP  (LEX  say) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP past (VP (LEX say ) (CP (LEX that ) (LEX past ) (VP write ) ) ) ) )",-31.3782980786,-32.8152707983,0.237646092179,2.85264024804,0.0168984495109,120.49990339,51.,7.85041396716,2.28282881463;1.83833208061;1.560550875;1.15384589274;1.0148563042;4.89035446479
"past say that past sell","(START  (IP  (LEX  past) (VP  (LEX  say) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP past (VP (LEX say ) (CP (LEX that ) (IP past (LEX sell ) ) ) ) ) )",-32.4309531283,-33.9897303685,0.210393174297,2.47281476227,0.0127771702403,126.128043573,33.,7.99710862096,2.31549061549;1.80015230424;1.47964018337;1.359505108;1.04232040986;5.1349525725
"past say that past take","(START  (IP  (LEX  past) (VP  (LEX  say) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP past (VP (LEX say ) (CP (LEX that ) (LEX past ) (VP take ) ) ) ) )",-31.4344508245,-32.9638680297,0.216661899962,2.90448892701,0.0159365874256,120.876634444,51.,7.86336713119,2.28571285745;1.83496079956;1.55340644653;1.17200563803;1.01728138961;4.91195252121
