Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present think null null <WUG> from","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  from))))))))","(START (IP present think (LEX null ) (IP (LEX null ) <WUG> (LEX from ) ) ) )",-65.218876918,-65.9279933171,0.492078806681,1.17662738926,0.41142137624,231.36456195,64.,6.63454299143,2.00000000137;0.0448155411464;0.960299020344;2.;1.14339049058;1.00000000023;4.18768398672
"present think null null <WUG> <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  <WUG>))))))))","(START (IP present think (LEX null ) (IP (LEX null ) <WUG> (LEX <WUG> ) ) ) )",-86.9936991038,-87.5480637474,0.574437117533,0.862305739208,0.405645755142,311.900996184,80.,6.40513468375,2.00000000137;0.0448155411464;0.960299020344;2.;1.00002135682;1.00000000027;4.04429654952
"present think null null <WUG> with","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  with))))))))","(START (IP present think (LEX null ) (IP (LEX null ) <WUG> (LEX with ) ) ) )",-64.0529917996,-64.8302003648,0.459687409441,1.22770109948,0.441617518912,229.238164643,64.,6.72476172797,2.00000000137;0.0448155411464;0.960299020344;2.;1.19977735082;1.00000000021;4.24407084695
"present think null null <WUG> <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  <WUG>))))))))","(START (IP present think (LEX null ) (IP (LEX null ) <WUG> (LEX <WUG> ) ) ) )",-86.9936991038,-87.5480637474,0.574437117533,0.862305739208,0.405645755142,311.900996184,80.,6.40513468375,2.00000000137;0.0448155411464;0.960299020344;2.;1.00002135682;1.00000000027;4.04429654952
"present think null null <WUG> from","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  from))))))))","(START (IP present think (LEX null ) (IP (LEX null ) <WUG> (LEX from ) ) ) )",-65.218876918,-65.9279933171,0.492078806681,1.17662738926,0.41142137624,231.36456195,64.,6.63454299143,2.00000000137;0.0448155411464;0.960299020344;2.;1.14339049058;1.00000000023;4.18768398672
"present think null null picture of","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  picture) (PP  (LEX  of))))))))","(START (IP present think (LEX null ) (IP (LEX null ) (NP (LEX picture ) of ) ) ) )",-34.6754220722,-34.7681652437,0.911427550809,0.389747909334,0.406121152134,119.560971497,64.,7.00701379767,2.00000000137;0.0448155411464;0.960299020344;2.;1.95385891531;1.00000000003;4.04619273072
"present think null null <WUG> from","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  from))))))))","(START (IP present think (LEX null ) (IP (LEX null ) <WUG> (LEX from ) ) ) )",-65.218876918,-65.9279933171,0.492078806681,1.17662738926,0.41142137624,231.36456195,64.,6.63454299143,2.00000000137;0.0448155411464;0.960299020344;2.;1.14339049058;1.00000000023;4.18768398672
"present think null null <WUG> from","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  from))))))))","(START (IP present think (LEX null ) (IP (LEX null ) <WUG> (LEX from ) ) ) )",-65.218876918,-65.9279933171,0.492078806681,1.17662738926,0.41142137624,231.36456195,64.,6.63454299143,2.00000000137;0.0448155411464;0.960299020344;2.;1.14339049058;1.00000000023;4.18768398672
"present think null null <WUG> <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  <WUG>))))))))","(START (IP present think (LEX null ) (IP (LEX null ) <WUG> (LEX <WUG> ) ) ) )",-86.9936991038,-87.5480637474,0.574437117533,0.862305739208,0.405645755142,311.900996184,80.,6.40513468375,2.00000000137;0.0448155411464;0.960299020344;2.;1.00002135682;1.00000000027;4.04429654952
"present think null null <WUG> <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  null) (IP  (LEX  null) (NP  (LEX  <WUG>) (PP  (LEX  <WUG>))))))))","(START (IP present think (LEX null ) (IP (LEX null ) <WUG> (LEX <WUG> ) ) ) )",-86.9936991038,-87.5480637474,0.574437117533,0.862305739208,0.405645755142,311.900996184,80.,6.40513468375,2.00000000137;0.0448155411464;0.960299020344;2.;1.00002135682;1.00000000027;4.04429654952
