Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"past know that past buy","(START  (IP  (LEX  past) (VP  (LEX  know) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP past (VP know (CP that (IP past (VP buy ) ) ) ) ) )",-22.641544701,-22.9309787145,0.748687194534,1.09510474376,0.00346704018312,93.0611277619,144.,6.14761583278,2.05324670157;1.0639820101;1.0028673441;1.05170949881;1.04139760808;5.91115422188
"past know that past write","(START  (IP  (LEX  past) (VP  (LEX  know) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP past (VP know (CP that (IP past (VP write ) ) ) ) ) )",-22.5629660053,-22.8881965706,0.722360783084,1.19146684524,0.00358567449062,92.7900799045,144.,6.18078929953,2.05324673161;1.06398252714;1.00286940796;1.05168763258;1.07458894853;5.94434236231
"past know that past sell","(START  (IP  (LEX  past) (VP  (LEX  know) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP past (VP know (CP that (IP past (VP (LEX sell ) ) ) ) ) ) )",-25.3257818204,-25.5870879537,0.770045147058,0.992349373721,0.00226962254026,115.134619324,94.,7.0910239308,2.05324755599;1.06399671405;1.00292603741;1.05108765306;1.98531400959;6.85497961905
"past know that past take","(START  (IP  (LEX  past) (VP  (LEX  know) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP past (VP know (CP that (IP past (VP take ) ) ) ) ) )",-22.0480744683,-22.3181184872,0.76334589196,1.02987070351,0.00567128507456,89.4437753786,144.,6.12914465555,2.05324668484;1.06398172221;1.00286619493;1.05172167406;1.02291647868;5.89267487427
"past know that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  know) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP past (VP know (CP that (IP past (VP <WUG> ) ) ) ) ) )",-52.8706449234,-53.384623319,0.59811131579,1.49249188924,0.000916013060894,278.312869167,169.,6.33510462774,2.05324652965;1.06399037577;1.00310728877;1.05338859659;1.22910005239;6.09643023927
"past know that past break","(START  (IP  (LEX  past) (VP  (LEX  know) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  break)))))))","(START (IP past (VP know (CP that (IP past (VP break ) ) ) ) ) )",-23.1505447914,-23.4706232146,0.726092092387,1.17899740683,0.00239798709099,96.2537829074,144.,6.17608753965,2.05324672736;1.06398245386;1.00286911544;1.05169073174;1.06988465537;5.93963852269
"past remember that past buy","(START  (IP  (LEX  past) (VP  (LEX  remember) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP past (VP (LEX remember ) that (IP past (VP buy ) ) ) ) )",-24.3829334486,-24.5910276964,0.812130491588,0.863108517493,0.00550748820898,92.0219522233,98.,6.16633352324,2.07299356009;1.97771460424;1.00007273856;1.05120996169;1.04139717513;5.02918217619
"past remember that past write","(START  (IP  (LEX  past) (VP  (LEX  remember) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP past (VP (LEX remember ) that (IP past (VP write ) ) ) ) )",-24.3043463677,-24.5482455525,0.783566625711,0.959543919342,0.00562595909347,91.8202239405,98.,6.19951867803,2.07299384202;1.97771430689;1.0000727903;1.05118787748;1.07458754302;5.06236100111
"past remember that past sell","(START  (IP  (LEX  past) (VP  (LEX  remember) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP past (VP (LEX remember ) that (IP past (VP (LEX sell ) ) ) ) ) )",-27.0669321333,-27.2471369356,0.835099163656,0.762041065813,0.00431611393342,111.725861403,64.,7.10985693106,2.07300157606;1.97770614979;1.00007420979;1.05058206129;1.98506880226;5.97252561259
"past remember that past take","(START  (IP  (LEX  past) (VP  (LEX  remember) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP past (VP (LEX remember ) that (IP past (VP take ) ) ) ) )",-23.7894678848,-23.9781674691,0.828035224137,0.797830275468,0.00770902161075,88.9280087994,98.,6.14785559684,2.0729934031;1.97771476981;1.00007270974;1.05122225847;1.02291634601;5.01070777434
"past remember that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  remember) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP past (VP (LEX remember ) that (IP past (VP <WUG> ) ) ) ) )",-54.611908613,-55.0446723008,0.64871377266,1.26136483234,0.00296092920992,250.604904381,115.,6.35385925089,2.07298829103;1.97772016152;1.0000788156;1.05286622687;1.22906900768;5.21422370922
"past remember that past break","(START  (IP  (LEX  past) (VP  (LEX  remember) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  break)))))))","(START (IP past (VP (LEX remember ) that (IP past (VP break ) ) ) ) )",-24.8919263423,-25.1306721965,0.78761502599,0.947064446702,0.00443983595504,94.7656924794,98.,6.19481529543,2.07299380206;1.97771434903;1.00007278297;1.05119100751;1.06988342156;5.05765851565
"past <WUG> that past buy","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP past (VP (LEX <WUG> ) that (IP past (VP buy ) ) ) ) )",-53.7679428611,-54.1048922228,0.713944991956,1.23307246488,0.00351392281173,206.333361939,176.,6.16388395535,2.07077535315;1.85951020494;1.00043512151;1.05126597008;1.04139571117;5.14301772251
"past <WUG> that past write","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP past (VP (LEX <WUG> ) that (IP past (VP write ) ) ) ) )",-53.6893274274,-54.0621100788,0.688814929506,1.32975181252,0.00363263016414,206.121724547,176.,6.19706211308,2.07077532621;1.85948557439;1.00043541871;1.05124240883;1.07458279066;5.17616080074
"past <WUG> that past sell","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP past (VP (LEX <WUG> ) that (IP past (VP (LEX sell ) ) ) ) ) )",-56.4511357306,-56.761001462,0.733545441782,1.13759611705,0.00232831187868,226.306336315,115.,7.10647530782,2.07077458779;1.85881045125;1.00044356483;1.05059659501;1.98424053082;6.08461246652
"past <WUG> that past take","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP past (VP (LEX <WUG> ) that (IP past (VP take ) ) ) ) )",-53.1744930848,-53.4920319954,0.727938355692,1.16764692982,0.00571564466879,203.172373652,176.,6.14540910953,2.07077536815;1.85952392015;1.00043495602;1.05127908987;1.02291589738;5.12456241028
"past <WUG> that past <WUG>","(START  (IP  (LEX  past) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP past (VP (LEX <WUG> ) that (IP past (VP <WUG> ) ) ) ) )",-83.9967679267,-84.5585368272,0.570199544983,1.63245483777,0.00096818516003,368.345831529,205.,6.35134844264,2.07076933388;1.85938608785;1.00047140356;1.05291610348;1.22902652772;5.32784821531
