Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present think that past forget","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  forget)))))))","(START (IP present think (CP that (IP past (LEX forget ) ) ) ) )",-18.8288970303,-18.8462960481,0.982751471062,0.11189680546,0.00160498468583,67.6060199059,114.,5.01741253139,2.00066826233;0.00486413843635;1.00317630809;1.00004704889;1.00932877909;5.01071571817
"present <WUG> that past buy","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP present (LEX <WUG> ) (CP that (IP past (LEX buy ) ) ) ) )",-54.7346700086,-55.0480745104,0.73095418047,0.831621404674,0.00461760791973,176.735664281,103.,6.03153129339,2.00480850448;1.0173275778;1.00310196877;1.00004704888;1.00932917423;5.22379691145
"present <WUG> that past leave","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  leave)))))))","(START (IP present (LEX <WUG> ) (CP that (IP past (VP leave ) ) ) ) )",-54.5591378869,-54.9409452979,0.682626506897,1.06362011243,0.00399768863107,176.180852786,159.,6.02499989125,2.00480825958;1.0173261465;1.00410020092;1.00215714294;1.00066807757;5.21406592987
"present think that will <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  will) (VP  (LEX  <WUG>)))))))","(START (IP present think (CP that (IP will (VP <WUG> ) ) ) ) )",-51.0989632456,-51.613986095,0.597486942237,0.796205674178,3.02616009724e-05,226.176538958,192.,5.01811202243,2.00066827274;0.00488590917843;1.0033526921;1.00559043753;1.00592272695;5.00546467599
"present hope that will leave","(START  (IP  (LEX  present) (VP  (LEX  hope) (CP  (LEX  that) (IP  (LEX  will) (VP  (LEX  leave)))))))","(START (IP present (VP hope (CP that (IP will (VP leave ) ) ) ) ) )",-26.41298035,-26.4869826921,0.928669518838,0.344552669706,0.00374362734824,110.770538949,114.,6.01174768559,2.00116248442;1.00036480315;1.00325320767;1.00628029744;1.00068689291;5.98426110003
"present complain that present turn","(START  (IP  (LEX  present) (VP  (LEX  complain) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  turn)))))))","(START (IP present (LEX complain ) (CP that (IP present (LEX turn ) ) ) ) )",-25.5109177893,-25.565019805,0.947335458529,0.277160679752,0.00492586937737,83.3486014451,63.,6.0310041931,2.0019084883;1.02234230708;1.00325419724;1.00000872657;1.0040433296;5.00307123369
"present <WUG> that past <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  <WUG>)))))))","(START (IP present (LEX <WUG> ) (CP that (IP past (LEX <WUG> ) ) ) ) )",-84.3447126575,-85.3290392752,0.373690778993,1.51498162806,5.97768621679e-05,331.970505114,188.,6.02809103173,2.00480829759;1.01734806108;1.00366099623;1.00158988511;1.00476941849;5.2181258929
"present <WUG> that present keep","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  keep)))))))","(START (IP present (LEX <WUG> ) (CP that (IP present (LEX keep ) ) ) ) )",-53.9667696123,-54.2952816601,0.719994253804,0.912361590728,0.002371627911,174.379454378,165.,6.02423112183,2.00479973541;1.01736093869;1.00408087468;1.0000291824;1.00387591897;5.21335751763
"present <WUG> that will <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  will) (VP  (LEX  <WUG>)))))))","(START (IP present (LEX <WUG> ) (CP that (IP will (VP <WUG> ) ) ) ) )",-88.0678216956,-88.8790403859,0.444316252251,1.517494909,5.26352088231e-05,347.729678909,174.,6.03220205186,2.00480771829;1.0173997973;1.00327360141;1.00558937211;1.00592273931;5.21824013334
"present <WUG> that present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (LEX <WUG> ) (CP that (IP present (LEX <WUG> ) ) ) ) )",-83.026412888,-83.6745720924,0.523007641359,1.5129772839,7.87531157894e-05,324.29219785,194.,6.00334092619,2.00470303205;1.0177339763;1.01505082256;1.0004105188;1.00281548808;5.15701745942
"present <WUG> that present play","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  play)))))))","(START (IP present (LEX <WUG> ) (CP that (IP present (LEX play ) ) ) ) )",-52.137481529,-52.9797290685,0.430741326558,1.63542343341,0.00946774476369,164.915291898,165.,5.99354263427,2.00465769973;1.01790090664;1.0201837356;1.00042511863;1.00231879417;5.13079809998
"present <WUG> that present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (LEX <WUG> ) (CP that (IP present (LEX <WUG> ) ) ) ) )",-83.026412888,-83.6745720924,0.523007641359,1.5129772839,7.87531157894e-05,324.29219785,194.,6.00334092619,2.00470303205;1.0177339763;1.01505082256;1.0004105188;1.00281548808;5.15701745942
"present <WUG> that will pay","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  will) (VP  (LEX  pay)))))))","(START (IP present (LEX <WUG> ) (CP that (IP will (VP pay ) ) ) ) )",-60.3020677336,-61.1470473574,0.429566111048,1.51452881627,0.000356281885145,202.834323909,145.,6.03240560503,2.00480800948;1.0173252194;1.00315278812;1.00393934978;1.00625289465;5.22050557689
"present <WUG> that will <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  will) (VP  (LEX  <WUG>)))))))","(START (IP present (LEX <WUG> ) (CP that (IP will (VP <WUG> ) ) ) ) )",-88.0678216956,-88.8790403859,0.444316252251,1.517494909,5.26352088231e-05,347.729678909,174.,6.03220205186,2.00480771829;1.0173997973;1.00327360141;1.00558937211;1.00592273931;5.21824013334
"present <WUG> that will <WUG>","(START  (IP  (LEX  present) (VP  (LEX  <WUG>) (CP  (LEX  that) (IP  (LEX  will) (VP  (LEX  <WUG>)))))))","(START (IP present (LEX <WUG> ) (CP that (IP will (VP <WUG> ) ) ) ) )",-88.0678216956,-88.8790403859,0.444316252251,1.517494909,5.26352088231e-05,347.729678909,174.,6.03220205186,2.00480771829;1.0173997973;1.00327360141;1.00558937211;1.00592273931;5.21824013334
