Sentence,ConditionedTree,MAPTree,InsideScore,MAPScore,MAPInsideRatio,Entropy,Surprisal,KL,NumParses,ExpectedNumConstituents,ExpectedBoundaries
"present think that past take","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  take)))))))","(START (IP present (VP think (CP that (IP past (VP take ) ) ) ) ) )",-20.87759216,-22.0287983724,0.316255068435,2.18387391363,0.00541252816044,80.570562833,200.,5.85025443118,2.00781812179;0.56802978773;1.02113998875;1.03992702683;1.2294526261;5.61937566077
"present think that past chase","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  chase)))))))","(START (IP present (VP think (CP that (IP past (VP (LEX chase ) ) ) ) ) ) )",-22.0650028301,-23.0902214225,0.358718043806,1.91220098923,0.00564543961373,90.118595928,129.,6.42656684141,2.0076103999;0.565197388103;1.01867136166;1.0343513972;1.81488443171;6.10946504205
"present think that present love","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  love)))))))","(START (IP present (VP think (CP that present (VP (LEX love ) ) ) ) ) )",-18.8572615009,-19.7448902583,0.41163067262,1.58276019902,0.00387732271933,72.3129333679,214.,5.65512936421,2.00623158074;0.539573553579;1.0561908601;0.170577414748;1.93934342503;5.57830061636
"present think that past sell","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  sell)))))))","(START (IP present (VP think (CP that (IP past (VP (LEX sell ) ) ) ) ) ) )",-22.0975648111,-23.1227834035,0.358718043806,1.91220098923,0.00552828993937,90.3175322125,129.,6.42656684141,2.0076103999;0.565197388103;1.01867136166;1.0343513972;1.81488443171;6.10946504205
"present think that present drink","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  drink)))))))","(START (IP present (VP think (CP that present (VP (LEX drink ) ) ) ) ) )",-18.1939949434,-19.0526770172,0.4237201464,1.49623597166,0.00773354447991,68.7317489833,214.,5.68266618875,2.00623136247;0.539571072498;1.05619129205;0.170371492402;1.96693166969;5.60589900577
"present think that present drive","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  drive)))))))","(START (IP present (VP think (CP that present (VP (LEX drive ) ) ) ) ) )",-18.6573105578,-19.4861263959,0.436565945115,1.36317960265,0.00523195404426,71.4679133919,115.,5.71192573402,2.00623113055;0.5395684362;1.05619175102;0.170152687427;1.99624585196;5.63522396745
"present think that present <WUG>","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  <WUG>)))))))","(START (IP present (VP think (CP that present (VP (LEX <WUG> ) ) ) ) ) )",-48.1310570861,-49.4807559528,0.259318338281,2.03009215442,0.000210214466215,223.621273978,224.,5.30623211331,2.00623144947;0.539562711685;1.05629772772;0.168991205053;1.59176585288;5.23087601618
"present think that present study","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  study)))))))","(START (IP present (VP think (CP that present (VP (LEX study ) ) ) ) ) )",-18.945153018,-19.7739688561,0.436565945115,1.36317960265,0.00397734816542,73.0899701225,115.,5.71192573402,2.00623113055;0.5395684362;1.05619175102;0.170152687427;1.99624585196;5.63522396745
"present think that present like","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  present) (VP  (LEX  like)))))))","(START (IP present (VP think (CP that present (VP like ) ) ) ) )",-17.3675017959,-18.4038983521,0.354730633566,1.83182225524,0.00526302575593,60.9096277002,193.,4.90292181454,2.00623161127;0.539550857508;1.05636186179;0.167620598603;1.18978759675;4.82909979523
"present think that past write","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  write)))))))","(START (IP present (VP think (CP that (IP past (VP write ) ) ) ) ) )",-21.2864517238,-22.7745535194,0.225800865181,2.37456532205,0.00453106813439,83.6802047072,200.,6.0150893543,2.00775870988;0.567219674384;1.02043392039;1.03833230413;1.39689584779;5.75954936526
"present think that past buy","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  buy)))))))","(START (IP present (VP think (CP that (IP past (VP (LEX buy ) ) ) ) ) ) )",-21.4675849404,-22.4928035328,0.358718043806,1.91220098923,0.00863444751012,86.4686922154,129.,6.42656684141,2.0076103999;0.565197388103;1.01867136166;1.0343513972;1.81488443171;6.10946504205
"present think that past eat","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  eat)))))))","(START (IP present (VP think (CP that (IP past (VP (LEX eat ) ) ) ) ) ) )",-20.2609384242,-21.3078874068,0.351007045648,2.01260645857,0.0232738119093,79.0506191644,221.,6.40922134775,2.00761568419;0.565258405034;1.01873397331;1.03672958304;1.79736768712;6.09267006129
"present think that past read","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  read)))))))","(START (IP present (VP think (CP that (IP past (VP (LEX read ) ) ) ) ) ) )",-21.687127135,-23.2191867922,0.21609013703,2.44634341704,0.00407937909673,86.43088977,221.,6.10718993379,2.00772149303;0.566666338456;1.01999084191;1.04662631381;1.49088271848;5.82937454516
"present think that past see","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  see)))))))","(START (IP present (VP think (CP that (IP past (VP (LEX see ) ) ) ) ) ) )",-20.1501854697,-21.1841967809,0.355577762933,1.96032830378,0.0263929710918,78.4045079972,202.,6.4200840203,2.0076127584;0.567246067276;1.01867032262;1.03436005786;1.80775079001;6.10007637029
"present think that past start","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  start)))))))","(START (IP present (VP think (CP that (IP past (VP (LEX start ) ) ) ) ) ) )",-21.94057089,-22.9657894823,0.358718043806,1.91220098923,0.00612996205223,89.3583833394,129.,6.42656684141,2.0076103999;0.565197388103;1.01867136166;1.0343513972;1.81488443171;6.10946504205
"present think that past bake","(START  (IP  (LEX  present) (VP  (LEX  think) (CP  (LEX  that) (IP  (LEX  past) (VP  (LEX  bake)))))))","(START (IP present (VP think (CP that (IP past (VP (LEX bake ) ) ) ) ) ) )",-22.1292306639,-23.1544492563,0.358718043806,1.91220098923,0.00541796504579,90.5109936331,129.,6.42656684141,2.0076103999;0.565197388103;1.01867136166;1.0343513972;1.81488443171;6.10946504205
